code,year,d_drowning,d_interpersonal_violence,d_exposure_to_forces_of_nature,d_road_injuries,d_poisonings,d_fire_heat_and_hot_substances
SLV,2013,203,5977,5,1059,10,38
SLV,2014,228,6176,9,1208,11,41
SLV,2015,233,6555,13,1248,11,42
SLV,2016,225,3197,0,1251,11,42
SLV,2017,220,3150,10,1259,11,41
SLV,2018,219,3140,4,1276,11,42
SLV,2019,213,3047,0,1279,11,42
ENG,1990,363,472,72,4763,227,626
ENG,1991,347,466,2,4544,228,605
ENG,1992,331,480,1,4278,228,581
ENG,1993,317,581,3,4084,239,566
ENG,1994,309,585,4,3918,239,656
ENG,1995,310,477,0,3874,242,538
ENG,1996,301,370,1,3819,242,532
ENG,1997,297,349,0,3745,237,515
ENG,1998,290,346,24,3644,227,502
ENG,1999,284,329,9,3554,214,486
ENG,2000,274,351,14,3472,195,466
ENG,2001,272,411,0,3400,169,444
ENG,2002,269,421,14,3363,155,436
ENG,2003,266,429,0,3297,144,424
ENG,2004,254,408,2,3160,134,399
ENG,2005,254,409,12,3077,126,380
ENG,2006,257,385,0,3054,125,373
ENG,2007,256,344,25,2963,122,356
ENG,2008,256,323,13,2850,120,350
ENG,2009,253,312,5,2667,117,337
ENG,2010,246,285,0,2477,113,324
ENG,2011,238,295,0,2318,108,313
ENG,2012,235,275,8,2222,105,305
ENG,2013,239,267,11,2199,105,306
ENG,2014,243,265,7,2197,105,302
ENG,2015,244,252,3,2183,105,302
ENG,2016,246,236,2,2174,104,302
ENG,2017,244,224,11,2170,105,367
ENG,2018,245,254,0,2212,106,308
ENG,2019,244,260,0,2232,107,312
GNQ,1990,38,26,0,181,15,16
GNQ,1991,39,26,0,188,15,17
GNQ,1992,40,27,0,192,15,17
GNQ,1993,41,27,0,199,15,17
GNQ,1994,41,27,0,203,15,17
GNQ,1995,42,29,0,213,16,17
GNQ,1996,41,29,0,221,16,17
GNQ,1997,38,28,0,215,15,16
GNQ,1998,37,28,0,216,14,16
GNQ,1999,35,28,0,224,14,16
GNQ,2000,33,28,0,226,13,16
GNQ,2001,29,27,0,214,12,15
GNQ,2002,26,27,0,202,11,13
GNQ,2003,24,27,0,202,11,13
GNQ,2004,24,29,0,203,10,13
GNQ,2005,24,30,0,209,11,13
GNQ,2006,23,31,0,215,11,13
GNQ,2007,22,32,0,215,10,13
GNQ,2008,20,32,0,213,10,13
GNQ,2009,19,35,0,219,10,13
GNQ,2010,19,36,0,222,10,13
GNQ,2011,18,38,0,234,10,13
GNQ,2012,17,39,0,235,10,13
GNQ,2013,16,40,0,232,9,12
GNQ,2014,15,43,0,235,9,12
GNQ,2015,15,45,0,242,9,13
GNQ,2016,15,47,0,255,10,13
GNQ,2017,15,49,0,261,10,13
GNQ,2018,15,52,0,276,10,13
GNQ,2019,14,55,0,282,10,14
ERI,1990,151,182,0,557,95,107
ERI,1991,146,186,0,552,93,104
ERI,1992,143,201,0,571,94,104
ERI,1993,143,221,3,596,96,106
ERI,1994,144,243,0,631,100,108
ERI,1995,147,273,0,687,105,113
ERI,1996,147,290,0,695,106,115
ERI,1997,148,310,0,712,107,117
ERI,1998,148,323,0,710,107,117
ERI,1999,151,351,0,736,110,120
ERI,2000,154,375,0,760,112,124
ERI,2001,156,386,0,769,115,127
ERI,2002,167,438,0,842,123,137
ERI,2003,170,457,0,871,127,140
ERI,2004,181,483,0,905,133,148
ERI,2005,184,498,0,923,136,151
ERI,2006,182,513,0,939,137,152
ERI,2007,182,532,0,954,138,153
ERI,2008,181,556,0,976,140,154
ERI,2009,174,575,0,981,138,151
ERI,2010,174,587,0,989,139,152
ERI,2011,169,593,0,992,138,151
ERI,2012,166,612,0,1007,139,151
ERI,2013,167,629,0,1024,140,153
ERI,2014,165,637,0,1031,141,154
ERI,2015,165,660,0,1048,143,156
ERI,2016,165,675,0,1061,144,157
ERI,2017,161,693,0,1073,144,157
ERI,2018,159,718,0,1093,145,158
ERI,2019,160,748,0,1119,148,161
EST,1990,217,184,0,429,60,153
EST,1991,226,205,0,452,63,164
EST,1992,219,288,0,421,61,170
EST,1993,226,361,0,449,63,196
EST,1994,235,395,0,490,57,220
EST,1995,207,357,0,426,48,217
EST,1996,155,297,0,334,35,187
EST,1997,150,265,0,319,33,183
EST,1998,139,278,0,314,31,192
EST,1999,131,248,0,278,25,176
EST,2000,115,221,1,258,23,174
EST,2001,122,227,0,256,22,183
EST,2002,110,188,1,241,18,172
EST,2003,100,172,0,214,16,161
EST,2004,93,141,0,203,15,152
EST,2005,84,150,0,191,13,141
EST,2006,82,135,1,189,12,134
EST,2007,84,128,0,181,10,126
EST,2008,74,109,0,151,8,104
EST,2009,66,96,1,133,7,89
EST,2010,60,77,0,113,7,77
EST,2011,58,79,0,112,7,75
EST,2012,54,73,1,105,7,67
EST,2013,48,67,0,94,6,59
EST,2014,49,57,0,92,6,58
EST,2015,44,54,0,85,6,55
EST,2016,43,52,0,84,7,53
EST,2017,44,57,0,84,7,54
EST,2018,43,58,0,84,6,54
EST,2019,42,58,0,82,6,54
SWZ,1990,47,188,0,198,19,37
SWZ,1991,47,181,0,204,19,38
SWZ,1992,47,175,0,207,19,38
SWZ,1993,47,170,0,210,19,38
SWZ,1994,46,167,0,218,19,39
SWZ,1995,46,172,0,231,19,40
SWZ,1996,47,178,0,250,20,41
SWZ,1997,46,183,0,262,20,41
SWZ,1998,48,189,0,284,20,43
SWZ,1999,50,191,0,309,21,45
SWZ,2000,56,190,0,345,22,49
SWZ,2001,55,192,0,376,24,52
SWZ,2002,56,191,0,402,25,54
SWZ,2003,58,190,0,421,26,57
SWZ,2004,60,193,0,434,26,58
SWZ,2005,58,200,0,440,26,58
SWZ,2006,58,202,1,437,26,58
SWZ,2007,58,207,0,440,27,60
SWZ,2008,58,211,0,441,26,58
SWZ,2009,59,214,0,441,26,58
SWZ,2010,57,216,0,432,26,57
SWZ,2011,58,216,0,423,25,56
SWZ,2012,59,219,0,418,25,56
SWZ,2013,56,220,0,411,24,55
SWZ,2014,56,221,11,405,24,55
SWZ,2015,55,224,0,399,23,54
SWZ,2016,54,225,0,393,22,53
SWZ,2017,54,227,0,393,22,53
SWZ,2018,53,231,0,395,22,53
SWZ,2019,52,235,0,397,22,53
ETH,1990,3570,5535,0,11236,4361,2590
ETH,1991,3557,5863,13,11322,4334,2596
ETH,1992,3676,6748,0,11615,4358,2639
ETH,1993,3695,6161,2,11705,4273,2622
ETH,1994,3549,6254,26,11705,4190,2591
ETH,1995,3475,7398,27,11674,4094,2555
ETH,1996,3413,6471,40,11461,3960,2487
ETH,1997,3286,6504,326,11310,3861,2433
ETH,1998,3263,7296,0,11298,3797,2420
ETH,1999,3088,6520,48,11162,3726,2387
ETH,2000,3070,6794,73,10809,3597,2329
ETH,2001,2995,6658,5,10532,3496,2299
ETH,2002,2881,7005,22,10368,3423,2294
ETH,2003,2841,6750,119,10189,3343,2259
ETH,2004,2768,6368,0,10050,3258,2215
ETH,2005,2852,6410,211,10047,3268,2278
ETH,2006,2742,6601,951,9866,3200,2262
ETH,2007,2697,6418,22,9750,3172,2281
ETH,2008,2582,6611,45,9588,3107,2271
ETH,2009,2449,6456,0,9408,3011,2244
ETH,2010,2273,6359,19,9192,2904,2193
ETH,2011,2207,6398,0,9082,2844,2190
ETH,2012,2083,6628,0,8871,2797,2147
ETH,2013,1963,6390,0,8591,2712,2091
ETH,2014,1996,6516,0,8708,2739,2131
ETH,2015,1877,6616,0,8664,2672,2086
ETH,2016,1830,6913,228,8718,2628,2084
ETH,2017,1839,7210,115,8951,2662,2111
ETH,2018,1817,7365,44,9113,2655,2123
ETH,2019,1745,7175,0,9212,2623,2101
WB,1990,42878,53826,481,168409,19152,22631
WB,1991,44088,58136,508,168521,19780,23413
WB,1992,46019,72319,2796,167643,20971,24876
WB,1993,49702,88196,629,169207,23474,27719
WB,1994,53249,97594,623,168196,25067,30024
WB,1995,52924,96130,741,161363,24693,29817
WB,1996,49153,85399,446,150930,23426,28940
WB,1997,46522,78456,536,142834,22165,27662
WB,1998,45581,76074,959,139051,21486,27397
WB,1999,46912,81687,18619,140474,22297,28870
WB,2000,46624,83912,388,139890,23016,29878
WB,2001,45728,83695,314,138705,23072,30446
WB,2002,44380,83930,748,137512,23148,31012
WB,2003,42438,81140,469,136500,22917,31217
WB,2004,40542,78726,358,133277,22039,30105
WB,2005,39781,76686,395,133058,21850,30198
WB,2006,36191,66475,371,125916,19703,27642
WB,2007,34344,62345,343,121263,18205,26158
WB,2008,32557,59660,348,116118,17278,25212
WB,2009,29697,53118,699,108055,15667,23284
WB,2010,28828,50618,524,103696,14956,22516
WB,2011,26505,47150,865,98578,13712,21046
WB,2012,25451,44704,373,95325,13074,20184
WB,2013,24553,42723,274,91826,12460,19347
WB,2014,24086,42688,329,90030,12201,18873
WB,2015,24356,41856,320,90424,12026,18754
WB,2016,23382,39469,520,87349,11571,17984
WB,2017,22320,37787,359,85132,11087,17475
WB,2018,22257,39506,110,85106,11170,17593
WB,2019,22174,39986,67,84990,11221,17372
WHO,1990,42974,53994,481,169155,19169,22682
WHO,1991,44183,58298,513,169291,19797,23463
WHO,1992,46116,72486,2796,168459,20989,24928
WHO,1993,49794,88384,630,170052,23491,27770
WHO,1994,53338,97787,623,169087,25084,30076
WHO,1995,53009,96317,741,162297,24709,29870
WHO,1996,49231,85605,447,151898,23442,28992
WHO,1997,46599,78652,553,143829,22182,27716
WHO,1998,45657,76275,960,140049,21504,27452
WHO,1999,46988,81933,18621,141457,22315,28926
WHO,2000,46699,84195,391,140885,23033,29936
WHO,2001,45808,83984,316,139699,23090,30504
WHO,2002,44462,84244,750,138519,23167,31070
WHO,2003,42517,81442,470,137478,22936,31274
WHO,2004,40617,79051,358,134222,22057,30161
WHO,2005,39855,77004,396,133982,21869,30256
WHO,2006,36266,66778,371,126802,19721,27700
WHO,2007,34420,62603,343,122149,18223,26220
WHO,2008,32631,59904,348,116975,17295,25272
WHO,2009,29770,53364,700,108888,15685,23344
WHO,2010,28900,50866,526,104511,14973,22590
WHO,2011,26574,47393,865,99368,13729,21105
WHO,2012,25520,44925,373,96098,13090,20244
WHO,2013,24623,42940,279,92594,12476,19406
WHO,2014,24157,42902,329,90790,12218,18935
WHO,2015,24426,42080,327,91204,12043,18815
WHO,2016,23454,39678,542,88135,11588,18045
WHO,2017,22390,38007,359,85919,11104,17536
WHO,2018,22327,39731,122,85907,11187,17655
WHO,2019,22244,40213,67,85784,11238,17436
FJI,1990,61,25,0,95,3,23
FJI,1991,60,24,0,94,3,23
FJI,1992,59,25,1,93,3,23
FJI,1993,60,25,21,94,3,23
FJI,1994,60,27,0,94,3,24
FJI,1995,60,28,0,94,3,24
FJI,1996,61,29,0,95,3,24
FJI,1997,61,32,25,95,3,24
FJI,1998,61,34,0,93,3,24
FJI,1999,63,37,12,98,3,25
FJI,2000,66,39,4,103,3,25
FJI,2001,65,40,2,100,3,25
FJI,2002,63,41,7,95,3,24
FJI,2003,62,39,17,97,3,24
FJI,2004,64,37,16,95,3,24
FJI,2005,65,38,0,97,3,25
FJI,2006,65,38,5,97,2,26
FJI,2007,66,38,7,95,2,26
FJI,2008,64,37,7,93,2,26
FJI,2009,61,37,15,88,2,26
FJI,2010,61,37,2,88,2,26
FJI,2011,61,37,0,88,2,26
FJI,2012,63,38,17,89,2,26
FJI,2013,62,38,0,93,2,26
FJI,2014,61,37,0,92,2,26
FJI,2015,61,37,0,89,2,26
FJI,2016,61,37,47,90,2,26
FJI,2017,60,36,0,89,2,26
FJI,2018,59,36,7,89,2,26
FJI,2019,59,35,0,90,2,26
FIN,1990,169,192,0,725,18,109
FIN,1991,170,186,0,692,18,108
FIN,1992,165,194,0,652,17,103
FIN,1993,155,187,0,604,17,102
FIN,1994,152,185,0,566,16,97
FIN,1995,149,179,0,540,16,95
FIN,1996,151,178,0,510,15,93
FIN,1997,160,162,1,499,16,93
FIN,1998,154,146,2,481,16,90
FIN,1999,163,163,0,476,15,88
FIN,2000,159,157,3,463,14,85
FIN,2001,153,158,2,457,13,81
FIN,2002,152,143,0,445,13,84
FIN,2003,150,129,0,431,13,87
FIN,2004,150,140,0,420,14,90
FIN,2005,148,127,0,404,14,89
FIN,2006,143,125,0,388,15,91
FIN,2007,142,125,2,384,15,89
FIN,2008,137,130,0,360,15,89
FIN,2009,133,118,1,341,15,87
FIN,2010,131,109,1,324,14,84
FIN,2011,125,107,2,309,14,79
FIN,2012,117,87,1,296,13,79
FIN,2013,117,89,1,281,13,74
FIN,2014,113,91,1,271,13,74
FIN,2015,108,86,0,262,12,71
FIN,2016,105,80,0,260,11,72
FIN,2017,106,82,0,264,12,72
FIN,2018,105,83,0,265,11,71
FIN,2019,104,83,0,266,11,70
FRA,1990,1026,1004,33,11984,234,1064
FRA,1991,998,996,32,11591,224,1136
FRA,1992,973,998,60,11141,213,1024
FRA,1993,950,997,18,10845,211,1014
FRA,1994,937,1026,38,10465,207,985
FRA,1995,916,989,17,10149,206,965
FRA,1996,902,911,30,9850,207,948
FRA,1997,909,885,23,9629,209,910
FRA,1998,934,782,43,9618,211,927
FRA,1999,983,745,101,9362,209,877
FRA,2000,1088,717,23,8873,204,825
FRA,2001,1149,726,29,8543,204,817
FRA,2002,1173,730,49,8020,198,856
FRA,2003,1201,694,26,7370,196,897
FRA,2004,1151,665,25,6732,185,770
FRA,2005,1148,630,30,6401,184,808
FRA,2006,1153,624,47,6001,188,744
FRA,2007,1144,596,27,5710,189,729
FRA,2008,1151,616,17,5478,196,724
FRA,2009,1153,632,26,5323,206,720
FRA,2010,1145,594,71,5106,214,709
FRA,2011,1115,604,21,4862,218,684
FRA,2012,1085,612,12,4580,224,667
FRA,2013,1055,585,28,4335,223,650
FRA,2014,1011,534,19,4191,220,630
FRA,2015,1013,551,25,4205,222,649
FRA,2016,966,527,5,4100,213,643
FRA,2017,957,531,18,4132,212,656
FRA,2018,949,536,20,4173,213,669
FRA,2019,944,538,0,4237,213,683
G20,1990,311176,236382,4838,728397,50403,73461
G20,1991,306531,238330,6099,728855,49960,74065
G20,1992,299582,249199,6617,730840,49999,74367
G20,1993,298307,266829,14295,736453,51131,76138
G20,1994,295534,276510,6737,745998,51626,77450
G20,1995,288907,276002,11879,748603,50645,75777
G20,1996,276695,263041,10172,745655,49358,73948
G20,1997,269866,258310,5463,754944,48148,73640
G20,1998,266613,259354,13248,763776,48096,72468
G20,1999,259129,263424,32625,777064,48696,73515
G20,2000,252437,265932,4501,792887,50140,74175
G20,2001,244372,266827,23089,802905,50996,73972
G20,2002,234038,269337,4110,810519,51624,73407
G20,2003,223767,266156,3433,816936,52566,74101
G20,2004,218378,261006,185705,824404,53466,72504
G20,2005,215268,258397,10631,832753,54315,73356
G20,2006,205631,248289,11606,828667,52514,71250
G20,2007,199454,239937,4738,830029,51523,69886
G20,2008,195610,239869,91363,836394,52193,69006
G20,2009,191361,235526,5175,832300,52123,67549
G20,2010,188938,232783,11061,828795,52224,67118
G20,2011,182948,228458,24800,816102,51300,66076
G20,2012,179989,225321,2280,802372,49962,64129
G20,2013,173608,222642,9203,780754,49078,64146
G20,2014,167305,220536,3819,760848,48389,62414
G20,2015,163191,220943,2512,743006,47232,61826
G20,2016,158981,223074,3654,733404,46220,61490
G20,2017,154177,225500,4266,726736,44889,60861
G20,2018,154644,225031,7890,734274,44364,62418
G20,2019,153199,223969,3284,734070,43834,62943
GAB,1990,43,50,0,336,23,28
GAB,1991,42,52,0,345,23,28
GAB,1992,42,53,0,352,23,28
GAB,1993,40,52,0,347,22,28
GAB,1994,39,53,0,360,23,28
GAB,1995,39,56,0,383,23,29
GAB,1996,38,55,0,391,23,29
GAB,1997,36,57,0,404,23,28
GAB,1998,35,57,0,414,23,28
GAB,1999,33,55,0,419,22,28
GAB,2000,32,56,0,440,22,28
GAB,2001,32,58,0,459,23,28
GAB,2002,32,60,0,466,23,28
GAB,2003,32,62,0,480,23,29
GAB,2004,32,62,0,483,23,29
GAB,2005,34,64,0,492,23,30
GAB,2006,34,65,0,499,24,30
GAB,2007,34,69,0,516,24,31
GAB,2008,34,70,0,528,24,31
GAB,2009,33,72,0,529,24,31
GAB,2010,32,71,0,515,23,30
GAB,2011,30,71,0,513,23,29
GAB,2012,28,71,1,508,23,29
GAB,2013,27,71,0,500,22,28
GAB,2014,27,73,0,504,22,29
GAB,2015,27,74,0,507,22,29
GAB,2016,27,75,0,510,23,29
GAB,2017,26,75,0,514,23,29
GAB,2018,26,76,0,517,23,30
GAB,2019,25,76,0,519,23,30
GMB,1990,37,5,0,120,20,25
GMB,1991,38,6,0,127,21,26
GMB,1992,40,6,0,135,22,27
GMB,1993,39,6,0,135,22,27
GMB,1994,39,7,0,136,22,28
GMB,1995,43,8,0,153,25,31
GMB,1996,39,7,0,147,23,29
GMB,1997,40,8,0,152,24,30
GMB,1998,41,9,0,163,26,32
GMB,1999,48,10,53,178,28,34
GMB,2000,40,10,0,168,26,32
GMB,2001,39,10,1,168,25,32
GMB,2002,38,10,0,173,26,33
GMB,2003,40,11,3,182,27,34
GMB,2004,48,13,2,207,30,40
GMB,2005,53,14,0,215,31,42
GMB,2006,46,14,0,213,30,41
GMB,2007,45,14,0,216,30,41
GMB,2008,45,13,0,208,29,39
GMB,2009,44,13,5,215,29,40
GMB,2010,44,13,9,214,29,39
GMB,2011,35,11,0,197,26,36
GMB,2012,38,11,0,202,27,37
GMB,2013,36,12,2,209,27,38
GMB,2014,38,13,0,229,29,41
GMB,2015,36,12,0,223,28,39
GMB,2016,37,13,0,239,30,42
GMB,2017,39,14,0,257,32,45
GMB,2018,38,14,0,258,31,44
GMB,2019,37,15,0,259,31,45
GEO,1990,489,310,0,1313,107,380
GEO,1991,497,317,8,1331,110,386
GEO,1992,543,246,1,1286,124,406
GEO,1993,489,506,98,1088,108,380
GEO,1994,503,236,0,974,110,384
GEO,1995,410,149,1,834,91,356
GEO,1996,300,163,0,705,66,315
GEO,1997,252,222,7,632,53,297
GEO,1998,206,297,0,561,41,318
GEO,1999,173,260,0,537,34,323
GEO,2000,149,240,0,530,31,289
GEO,2001,136,260,0,565,27,265
GEO,2002,129,252,6,597,29,250
GEO,2003,107,237,0,584,27,218
GEO,2004,96,229,1,602,24,197
GEO,2005,84,224,0,598,28,184
GEO,2006,82,200,8,622,28,168
GEO,2007,87,186,1,630,29,162
GEO,2008,96,182,0,698,29,163
GEO,2009,101,143,2,743,30,159
GEO,2010,98,168,2,744,28,154
GEO,2011,93,138,7,744,26,145
GEO,2012,93,118,2,763,25,135
GEO,2013,90,120,2,783,23,131
GEO,2014,87,142,6,802,22,129
GEO,2015,90,142,6,804,20,126
GEO,2016,87,130,0,777,21,127
GEO,2017,85,129,0,747,21,135
GEO,2018,82,127,0,720,20,121
GEO,2019,80,125,0,693,20,118
DEU,1990,934,1040,64,12388,147,908
DEU,1991,901,1110,5,12243,145,900
DEU,1992,858,1157,1,11731,140,865
DEU,1993,818,1167,11,11215,137,841
DEU,1994,802,1179,13,10761,133,811
DEU,1995,766,1158,6,10328,131,793
DEU,1996,715,1101,1,9837,127,887
DEU,1997,701,1032,0,9318,122,739
DEU,1998,659,1040,3,8717,116,706
DEU,1999,652,1023,19,8371,110,682
DEU,2000,618,924,1,7956,107,660
DEU,2001,583,867,9,7463,104,648
DEU,2002,569,887,33,7122,100,650
DEU,2003,558,823,2,6799,99,641
DEU,2004,517,789,2,6268,97,618
DEU,2005,496,715,6,5873,97,610
DEU,2006,481,719,8,5531,98,597
DEU,2007,467,695,20,5283,100,591
DEU,2008,466,675,5,5049,101,604
DEU,2009,465,674,8,4869,101,621
DEU,2010,461,665,7,4687,102,628
DEU,2011,460,640,9,4575,99,629
DEU,2012,460,601,1,4418,99,639
DEU,2013,467,592,11,4322,99,656
DEU,2014,460,587,10,4232,97,653
DEU,2015,477,622,7,4337,99,684
DEU,2016,480,615,7,4343,99,691
DEU,2017,473,614,5,4401,99,677
DEU,2018,469,615,5,4436,99,675
DEU,2019,465,617,1,4468,99,678
GHA,1990,461,402,0,2731,290,372
GHA,1991,483,449,5,2761,291,374
GHA,1992,445,504,0,2821,295,380
GHA,1993,462,465,0,2856,298,387
GHA,1994,469,2495,0,2890,300,393
GHA,1995,489,681,145,2923,303,400
GHA,1996,487,556,0,2972,306,408
GHA,1997,511,596,0,3088,312,422
GHA,1998,480,634,0,3145,314,430
GHA,1999,522,668,52,3222,319,439
GHA,2000,500,732,0,3309,324,449
GHA,2001,520,785,12,3477,335,462
GHA,2002,558,802,4,3632,347,478
GHA,2003,602,806,0,3851,366,502
GHA,2004,596,833,0,4036,378,517
GHA,2005,612,859,0,4227,387,547
GHA,2006,595,878,0,4372,394,538
GHA,2007,611,870,56,4610,397,544
GHA,2008,586,881,0,4602,394,537
GHA,2009,577,812,40,4693,399,542
GHA,2010,574,802,63,4776,402,546
GHA,2011,575,795,20,4931,410,558
GHA,2012,580,788,0,5032,415,565
GHA,2013,571,794,5,5151,422,576
GHA,2014,602,806,0,5342,434,595
GHA,2015,599,811,25,5620,444,762
GHA,2016,631,820,10,5827,454,629
GHA,2017,615,813,20,5947,458,637
GHA,2018,565,791,34,5828,439,615
GHA,2019,545,774,0,5806,433,612
GRC,1990,285,117,4,2350,35,155
GRC,1991,290,137,2,2367,38,154
GRC,1992,294,131,0,2389,38,151
GRC,1993,302,138,2,2371,36,144
GRC,1994,317,134,15,2394,32,139
GRC,1995,331,142,12,2429,31,135
GRC,1996,344,157,1,2434,31,130
GRC,1997,343,159,9,2372,31,126
GRC,1998,354,145,5,2336,34,122
GRC,1999,363,136,115,2291,37,116
GRC,2000,360,129,1,2207,40,117
GRC,2001,359,120,12,2094,40,117
GRC,2002,362,100,2,1976,40,112
GRC,2003,372,120,1,1922,38,110
GRC,2004,374,111,0,1927,36,108
GRC,2005,368,120,1,1888,34,105
GRC,2006,362,110,4,1828,32,101
GRC,2007,389,132,2,1820,31,211
GRC,2008,389,151,2,1735,30,108
GRC,2009,400,159,0,1684,30,109
GRC,2010,401,161,1,1566,28,109
GRC,2011,403,167,0,1477,27,109
GRC,2012,410,165,1,1392,25,111
GRC,2013,396,150,0,1289,23,105
GRC,2014,382,144,7,1234,20,96
GRC,2015,382,124,7,1250,19,99
GRC,2016,387,130,6,1236,19,101
GRC,2017,377,128,26,1240,20,102
GRC,2018,377,137,0,1267,21,206
GRC,2019,373,130,0,1278,21,108
GRL,1990,6,11,0,5,1,4
GRL,1991,6,11,0,5,1,4
GRL,1992,6,11,0,5,1,4
GRL,1993,6,11,0,5,1,4
GRL,1994,6,11,0,5,1,4
GRL,1995,6,11,0,5,1,4
GRL,1996,6,10,0,5,1,4
GRL,1997,6,10,0,5,1,4
GRL,1998,6,10,0,4,1,4
GRL,1999,6,9,0,4,1,4
GRL,2000,6,9,0,4,1,4
GRL,2001,6,8,0,4,1,3
GRL,2002,5,8,0,4,1,3
GRL,2003,5,8,1,4,1,3
GRL,2004,5,7,0,3,1,3
GRL,2005,5,7,0,3,1,3
GRL,2006,5,7,0,3,1,3
GRL,2007,5,7,0,3,1,3
GRL,2008,5,6,0,3,1,2
GRL,2009,4,6,0,3,1,2
GRL,2010,4,6,0,3,1,2
GRL,2011,4,6,1,3,1,2
GRL,2012,4,6,0,3,1,2
GRL,2013,4,5,0,3,1,2
GRL,2014,4,5,0,2,1,2
GRL,2015,4,5,0,2,1,2
GRL,2016,4,5,0,2,0,2
GRL,2017,4,5,0,2,0,2
GRL,2018,4,5,0,2,0,2
GRL,2019,3,5,0,2,0,2
GRD,1990,8,3,0,12,2,3
GRD,1991,8,3,0,12,2,3
GRD,1992,7,4,0,12,2,3
GRD,1993,7,4,0,12,2,3
GRD,1994,7,4,0,11,1,3
GRD,1995,6,3,0,11,1,3
GRD,1996,6,4,0,11,1,3
GRD,1997,7,4,0,11,1,3
GRD,1998,7,5,0,11,1,2
GRD,1999,7,6,0,11,1,2
GRD,2000,7,9,0,11,1,2
GRD,2001,7,5,0,11,1,2
GRD,2002,8,5,0,11,1,2
GRD,2003,8,6,0,11,0,2
GRD,2004,8,5,18,11,0,2
GRD,2005,8,6,1,10,0,2
GRD,2006,8,6,0,10,0,2
GRD,2007,8,6,0,9,0,2
GRD,2008,7,6,0,12,0,2
GRD,2009,7,7,0,12,0,2
GRD,2010,7,7,0,11,0,2
GRD,2011,7,6,0,11,0,2
GRD,2012,7,6,0,11,0,2
GRD,2013,7,6,0,11,0,2
GRD,2014,7,6,0,11,0,2
GRD,2015,7,6,0,10,0,2
GRD,2016,6,6,0,10,0,2
GRD,2017,6,9,0,10,0,2
GRD,2018,6,7,0,10,0,2
GRD,2019,6,6,0,10,0,2
GUM,1990,7,7,0,20,0,1
GUM,1991,7,7,0,20,0,1
GUM,1992,7,7,1,21,0,1
GUM,1993,7,7,0,21,0,1
GUM,1994,7,7,0,21,0,1
GUM,1995,7,7,0,22,0,1
GUM,1996,7,7,0,22,0,1
GUM,1997,7,7,0,22,0,1
GUM,1998,6,6,0,22,0,1
GUM,1999,6,6,0,22,0,1
GUM,2000,6,6,0,22,0,1
GUM,2001,6,6,0,21,0,1
GUM,2002,6,5,1,21,0,1
GUM,2003,6,6,0,21,0,1
GUM,2004,7,5,1,20,0,1
GUM,2005,6,5,0,20,0,1
GUM,2006,6,5,0,20,0,1
GUM,2007,6,5,0,20,0,1
GUM,2008,6,5,0,19,0,1
GUM,2009,6,5,0,19,0,1
GUM,2010,6,5,0,19,0,1
GUM,2011,6,5,0,18,0,1
GUM,2012,6,5,0,18,0,1
GUM,2013,6,5,0,17,0,1
GUM,2014,6,5,0,17,0,1
GUM,2015,6,6,0,17,0,1
GUM,2016,6,6,0,17,0,1
GUM,2017,6,6,0,17,0,1
GUM,2018,6,6,0,17,0,1
GUM,2019,6,6,0,17,0,1
GTM,1990,338,3788,0,998,110,206
GTM,1991,349,4024,37,1065,110,207
GTM,1992,351,4174,0,1101,104,207
GTM,1993,347,3966,0,1151,103,209
GTM,1994,343,4236,10,1150,98,207
GTM,1995,324,4555,31,1105,90,193
GTM,1996,315,4561,0,1096,89,187
GTM,1997,329,4944,0,1147,92,183
GTM,1998,339,4877,435,1164,93,182
GTM,1999,358,4553,14,1143,95,181
GTM,2000,403,4662,41,1224,108,191
GTM,2001,423,4261,7,1243,114,189
GTM,2002,414,4569,71,1238,121,186
GTM,2003,421,5114,27,1298,133,186
GTM,2004,429,5547,6,1376,152,189
GTM,2005,425,6987,324,1411,173,183
GTM,2006,426,6953,20,1502,191,187
GTM,2007,421,6767,23,1564,197,178
GTM,2008,426,7296,62,1651,203,169
GTM,2009,422,8164,2,1836,221,160
GTM,2010,423,6989,177,2039,230,157
GTM,2011,438,6113,75,2201,254,165
GTM,2012,428,5629,7,2291,258,164
GTM,2013,416,5555,11,2367,256,161
GTM,2014,407,5426,18,2433,249,164
GTM,2015,401,5384,7,2565,247,169
GTM,2016,399,5290,10,2691,245,173
GTM,2017,403,5330,21,2780,248,218
GTM,2018,402,5958,427,2750,244,175
GTM,2019,407,6293,0,2795,245,176
GIN,1990,573,368,0,1416,206,298
GIN,1991,573,392,0,1450,211,303
GIN,1992,573,411,0,1487,217,310
GIN,1993,569,433,0,1518,221,316
GIN,1994,570,459,0,1567,228,323
GIN,1995,568,479,0,1595,232,328
GIN,1996,560,499,0,1618,235,332
GIN,1997,553,522,0,1646,238,336
GIN,1998,553,551,0,1691,243,343
GIN,1999,550,558,0,1717,245,346
GIN,2000,526,579,4,1685,241,341
GIN,2001,507,565,9,1702,239,337
GIN,2002,491,583,0,1732,239,337
GIN,2003,502,601,0,1775,245,344
GIN,2004,536,630,0,1868,259,364
GIN,2005,534,643,0,1893,262,368
GIN,2006,536,672,0,1952,267,373
GIN,2007,535,696,0,1985,270,377
GIN,2008,521,708,0,1984,266,372
